num_clicks,previous_grade,homework_score,exam_grade
4225,4.36,44.3,2.86
94,6.67,56.14,7.64
2674,0.94,84.9,5.4
1955,7.48,44.36,1.29
793,8.13,91.87,5.27
1834,7.07,44.04,3.96
2116,9.67,54.88,1.8
4106,8.27,79.63,8.42
3325,9.03,58.31,0.11
2919,9.34,96.02,3.12
2597,8.01,66.03,0.13
3205,6.74,52.27,0.96
4807,0.06,2.36,2.97
814,4.66,41.37,0.54
345,5.71,29.92,5.97
2349,3.04,74.81,0.87
362,3.18,20.83,7.02
2443,9.61,20.52,0.53
2265,8.92,18.95,0.59
2188,8.49,12.56,3.05
3005,4.06,31.1,8.97
3281,0.14,88.59,6.41
984,0.8,77.49,7.7
1639,3.12,73.53,1.42
827,0.16,79.73,8.34
2730,0.17,26.94,0.08
3531,9.17,88.74,2.13
4451,7.06,13.73,6.16
2935,3.09,33.63,3.75
3876,1.33,58.67,9.84
126,5.12,10.29,0.3
3177,0.05,73.01,9.99
3056,9.38,38.72,6.24
603,4.15,78.44,5.59
3449,4.02,49.29,0.6
4146,3.91,18.09,2.73
3533,0.69,73.48,9.25
3367,6.38,25.21,3.54
3368,7.33,49.08,6.62
3797,6.76,7.55,9.99
1792,1.38,61.79,2.63
2861,5.79,66.59,5.76
3476,5.69,37.87,6.96
3417,8.68,95.44,1.65
1645,3.79,87.42,1.49
1205,3.71,70.79,4.56
3030,6.19,71.37,3.86
2872,6.33,25.24,7.14
3072,4.69,65.68,0.7
1854,4.43,19.82,9.72
4021,4.94,14.4,0.14
4662,8.61,99.95,6.01
2708,4.61,62.24,5.63
3502,9.4,43.1,1.35
1332,5.04,28.82,1.51
201,9.49,60.39,7.93
3507,8.33,4.96,8.88
4212,3.62,9.47,2.83
574,8.64,3.29,4.38
536,1.1,49.92,3.55
1625,9.25,60.06,0.73
2122,6.32,6.25,6.73
385,0.54,72.12,8.25
3281,6.44,23.04,3.05
474,9.74,68.52,9.9
417,0.7,98.19,0.76
3600,5.55,69.11,6.62
954,7.48,88.32,4.48
4971,8.1,94.82,4.47
4858,4.14,48.68,4.58
1205,2.04,70.23,2.59
4759,0.42,85.2,7.16
4120,5.8,35.66,7.22
1990,4.53,26.14,2.82
4805,9.49,94.66,8.35
3572,0.61,72.63,3.17
4380,6.85,21.97,7.25
4158,0.25,44.91,1.21
4757,1.71,79.65,1.69
2713,4.54,54.71,3.16
2203,4.55,65.0,5.94
3120,6.86,75.38,6.46
966,9.1,62.2,3.96
4944,6.39,54.01,0.78
3432,9.54,74.96,3.74
688,8.82,72.76,6.89
4243,5.84,62.99,6.71
3701,8.34,35.98,1.6
341,6.43,40.58,0.08
1724,0.79,97.04,7.53
4422,7.41,11.24,1.06
1792,0.95,26.85,0.82
1759,5.94,49.24,0.03
3212,7.03,83.67,4.33
989,0.67,16.37,5.03
2262,2.31,27.7,6.38
2482,9.16,6.58,2.96
951,6.16,70.6,7.1
722,2.46,23.82,1.69
3389,6.91,38.87,8.32
2079,5.97,44.37,5.72
2717,5.02,89.13,5.84
2332,9.76,41.13,2.1
3376,6.83,14.52,0.74
4524,3.75,52.43,4.65
1500,8.0,96.3,6.16
285,8.85,60.77,0.95
3495,1.25,98.34,9.51
2065,2.01,84.11,9.8
768,2.16,3.6,5.45
3057,6.91,65.84,9.5
4289,6.03,28.68,1.79
2161,6.19,55.96,0.25
3293,9.41,27.93,0.39
946,7.76,34.89,5.88
4926,1.28,92.32,0.62
3335,3.48,20.66,9.59
4150,4.35,87.41,1.42
4895,3.96,3.05,3.05
4873,6.69,9.09,8.23
1481,8.92,85.47,2.19
1901,3.06,63.06,2.43
3451,5.52,74.72,6.42
4064,7.89,20.94,2.76
54,4.16,53.71,2.17
1823,1.68,73.72,2.54
3462,4.75,62.73,4.91
3079,0.55,47.17,9.66
832,9.42,95.98,8.32
4408,0.75,67.62,2.85
2806,4.38,90.78,3.63
2490,5.3,72.98,4.65
327,9.85,73.55,9.79
3310,1.66,8.0,1.72
3300,1.14,35.95,3.57
3675,0.09,85.84,7.29
3054,1.56,23.26,9.64
2143,2.07,11.55,1.56
1311,6.31,32.61,2.27
3191,2.2,22.04,2.26
2538,0.21,92.53,0.21
3983,8.27,86.8,6.04
4547,3.66,49.97,6.71
164,3.54,6.13,6.03
4277,3.02,71.46,0.71
822,9.75,62.34,0.69
943,1.7,97.06,2.1
4425,8.98,55.9,2.9
774,7.77,33.64,7.87
2198,0.76,51.9,1.59
3156,9.87,97.93,0.44
4242,2.71,69.64,3.94
3695,0.99,67.2,4.16
3452,8.29,24.07,4.51
914,7.07,74.36,8.27
1308,6.17,75.03,0.98
4177,1.56,31.73,7.04
513,4.78,48.37,3.38
1920,7.81,29.46,3.1
3594,3.04,25.87,9.33
4841,3.12,2.59,2.48
1409,0.03,28.52,6.43
4802,1.74,55.4,2.75
4566,8.75,0.16,5.07
3190,4.42,28.32,7.86
4491,9.84,88.14,8.82
1555,3.96,59.36,8.39
804,7.15,60.79,5.82
1279,2.82,40.34,2.49
5000,3.64,67.65,6.61
3577,1.91,18.99,7.1
2901,3.47,81.87,0.11
1387,5.47,11.67,4.39
4688,9.92,65.6,8.43
2761,6.64,34.11,4.9
2679,1.99,74.75,3.11
2106,0.45,54.98,8.72
4223,1.26,45.24,1.56
4831,5.63,16.94,2.06
2768,7.65,63.68,6.87
3953,9.4,97.48,3.52
3186,0.16,82.56,7.13
3280,5.23,6.0,1.58
2573,4.71,37.62,2.52
4616,6.56,92.56,1.57
2599,5.6,50.3,9.53
4033,6.87,66.21,4.05
236,6.58,91.26,3.37
1304,1.17,87.38,0.14
3430,8.0,50.18,1.53
1301,1.23,43.76,4.21
2541,6.99,33.97,0.69
2051,4.16,71.9,5.11
441,5.14,28.7,4.55
2076,9.03,24.99,7.67
3180,8.9,35.62,6.6
2657,8.18,17.72,4.46
3798,5.1,69.51,2.25
804,7.36,61.62,7.27
74,5.13,48.29,7.08
2175,8.7,39.03,1.53
3924,4.03,90.91,9.15
2089,9.7,2.91,0.64
40,9.32,76.91,0.55
2081,7.42,90.19,1.87
4683,2.79,44.64,9.09
1622,1.32,55.07,5.2
341,8.55,94.45,7.88
4052,1.65,21.23,2.28
2074,8.54,52.01,4.9
645,4.91,47.47,3.58
4826,4.07,25.84,8.28
4263,9.03,81.86,0.23
609,6.04,89.96,2.44
454,5.77,78.19,1.53
2953,5.59,19.54,8.59
1708,3.71,8.67,4.68
3472,7.86,60.54,4.04
2969,2.53,5.71,4.49
3028,9.39,67.28,9.72
4797,8.94,53.04,8.5
2681,3.37,66.28,7.06
3629,7.29,59.02,2.9
4225,5.73,42.27,1.65
3067,3.38,20.09,9.21
1386,9.89,30.57,4.23
3776,0.25,52.45,2.79
2866,2.53,65.19,4.71
4788,5.2,77.95,9.18
3363,5.22,76.72,3.87
4889,5.89,97.27,5.63
4124,7.52,28.58,8.03
148,6.23,7.11,4.27
3850,6.0,34.57,2.34
2058,0.54,74.33,9.95
1136,3.77,43.81,9.57
186,2.32,81.78,8.43
2854,2.65,54.93,6.88
1250,5.54,92.98,2.95
1333,2.0,94.79,9.13
4193,2.94,6.93,2.76
4150,2.37,45.64,8.01
2711,9.49,60.97,9.18
4853,9.45,25.59,6.03
4501,6.1,40.71,8.03
1785,9.25,67.77,7.92
750,7.86,22.67,1.93
1762,5.9,60.2,6.68
3920,0.06,69.74,0.93
4460,7.73,9.05,5.08
481,7.02,49.75,1.62
153,6.15,26.31,4.16
1524,7.6,72.44,8.33
2120,5.13,18.96,9.87
2343,7.04,89.22,3.18
1240,9.35,43.09,5.32
60,3.76,19.8,5.11
938,7.08,43.8,9.54
1639,4.76,40.87,4.79
4120,6.74,42.89,6.99
4226,7.63,58.56,9.22
3569,0.45,52.12,3.73
1252,6.47,14.98,9.02
4203,2.27,6.56,9.17
171,6.7,72.94,9.31
1458,4.68,55.97,2.7
3549,7.74,35.9,4.0
4197,1.23,80.84,8.7
2322,6.26,38.81,3.59
1636,2.78,79.6,6.0
3115,8.53,30.58,1.18
4090,9.28,7.28,0.56
3004,9.96,93.26,4.12
329,7.96,39.46,5.79
3640,7.54,79.27,3.93
3894,2.16,27.91,5.78
4107,3.36,64.64,5.15
1341,4.66,87.33,6.86
3663,7.73,4.16,6.5
215,9.15,83.06,4.24
338,1.89,57.13,4.25
4062,9.22,60.75,1.41
2708,6.96,52.32,5.13
3152,6.11,87.45,5.87
1750,2.0,4.34,4.76
2421,0.56,26.1,3.26
709,5.68,87.58,7.22
3726,6.52,75.23,0.75
3642,2.11,1.76,9.14
3993,5.56,51.7,0.21
488,8.56,52.96,9.62
46,8.35,40.09,4.62
3359,9.27,29.74,4.13
4873,3.66,68.17,2.56
4806,3.18,20.78,0.1
400,7.49,79.89,2.75
3990,4.31,80.3,1.09
3157,0.88,41.53,6.6
4345,2.83,28.35,3.19
390,4.19,28.39,7.67
3853,2.93,48.23,2.07
4430,3.32,71.96,9.0
628,2.94,35.89,5.23
4232,0.41,61.0,1.15
2930,6.37,38.25,4.01
1521,5.97,30.45,2.07
826,6.53,2.49,2.0
4822,1.92,0.39,5.06
1500,2.96,22.72,6.72
3294,6.2,40.64,9.12
2419,6.0,85.13,5.02
934,5.06,79.85,9.66
3042,3.5,26.72,9.42
4497,9.13,24.45,8.65
1466,3.4,22.73,5.0
3561,4.56,33.92,1.41
614,6.78,49.82,2.18
1182,5.43,43.87,6.48
3223,3.47,21.83,4.22
2667,4.36,13.05,1.47
130,7.94,1.26,4.79
2983,2.78,15.4,0.17
4278,1.42,70.54,7.34
4459,3.13,24.36,0.74
38,8.5,46.86,6.29
3959,0.89,59.13,7.93
3587,9.92,88.68,1.33
920,5.41,88.89,5.19
2769,9.85,74.57,7.79
4111,9.39,3.52,2.61
492,4.53,57.51,1.63
1131,1.98,78.66,3.37
3521,1.65,1.73,5.55
310,2.4,54.97,5.75
738,7.1,85.78,1.31
3241,2.73,47.41,4.58
545,3.41,0.41,2.68
2461,4.49,1.1,8.42
4346,9.13,41.66,3.14
4854,1.89,15.5,8.39
1804,0.05,66.45,4.29
3212,0.6,70.88,7.27
3810,9.05,17.79,5.1
813,6.48,88.85,6.22
4124,2.73,44.19,3.95
2032,1.77,14.28,7.68
4572,2.94,76.43,4.25
4413,1.15,79.0,4.57
244,9.42,63.93,5.18
4843,7.84,85.35,8.32
4792,4.62,73.74,6.59
271,8.65,88.22,3.49
3511,2.49,43.39,6.7
1771,7.17,74.76,6.42
1262,8.56,99.98,9.31
2424,3.57,72.49,8.41
4361,7.57,11.42,6.47
920,2.95,51.83,3.42
3430,2.99,58.73,7.8
4435,1.07,17.42,5.75
4484,4.4,96.29,9.85
2624,7.3,17.56,2.48
3760,9.4,17.76,0.8
2050,6.04,91.52,0.7
3500,8.63,46.52,6.4
1165,8.22,6.32,9.39
375,1.73,59.82,0.02
2033,4.86,60.18,7.26
145,1.17,6.45,6.57
4388,6.82,97.25,7.32
431,9.5,54.4,3.55
704,1.37,55.98,8.2
2632,7.34,52.01,0.45
4494,6.32,61.07,7.55
963,5.84,26.43,2.67
2234,3.9,28.72,4.77
2041,3.55,51.13,8.23
1828,0.45,80.67,2.71
2108,2.18,4.99,1.85
4068,0.15,60.34,6.81
938,5.81,80.68,5.33
4805,1.06,15.69,5.14
806,8.73,1.5,2.57
1463,5.23,31.27,0.35
3415,7.0,58.81,4.1
10,4.11,13.83,1.07
1868,5.61,42.61,9.06
4867,9.43,55.23,0.41
884,0.83,59.89,4.32
3564,2.54,27.44,0.52
1389,7.8,40.0,0.96
3401,0.99,77.83,6.59
4321,0.76,94.12,6.47
824,3.62,86.19,0.33
2265,0.92,56.43,0.01
936,5.85,41.03,0.79
2800,2.26,33.3,7.63
2553,8.96,12.5,5.85
3845,7.84,10.66,0.38
1796,7.0,68.84,4.88
53,6.17,25.98,7.12
726,8.63,25.47,8.69
2736,2.23,99.82,9.34
3170,8.73,18.79,3.27
1913,7.89,14.81,1.36
1596,7.48,9.87,2.37
1914,5.61,57.98,7.76
2466,2.46,62.79,9.71
2737,4.24,36.52,4.66
849,7.94,53.54,3.05
2109,0.32,78.84,4.29
2,7.82,81.81,3.05
4255,2.4,95.79,2.56
4069,1.44,82.43,5.94
4876,1.16,56.48,0.16
892,0.27,17.97,2.6
2030,5.24,9.98,6.61
3160,2.18,5.45,0.32
2376,9.89,66.65,0.83
4675,5.74,80.75,2.93
1933,1.38,50.87,8.78
1380,6.89,5.47,7.65
3681,8.98,53.55,0.22
1290,7.45,93.57,5.02
1640,0.76,59.76,2.75
2682,8.96,80.94,6.49
987,7.94,80.02,7.22
1218,1.58,93.21,8.63
1355,0.52,77.02,4.75
4265,5.57,74.77,9.94
4616,1.56,23.41,9.8
4135,8.35,5.99,8.82
1560,3.58,51.76,5.75
1418,9.13,12.44,3.98
954,5.66,96.22,3.64
983,1.83,28.99,0.12
974,1.4,85.29,2.49
4133,5.76,38.76,7.19
3972,7.62,32.32,6.04
913,7.82,93.52,9.16
4549,2.76,36.33,0.5
36,2.04,39.03,1.55
3387,0.17,10.61,7.89
1711,6.79,67.04,3.59
3020,0.77,28.88,1.18
795,4.21,58.56,9.96
4036,6.02,59.14,7.87
4688,9.37,71.92,4.09
3111,3.12,74.52,8.23
1324,2.5,51.45,6.81
317,6.54,33.1,7.9
2396,6.19,83.75,8.15
2162,3.32,30.99,0.85
2745,9.28,50.75,6.23
1591,8.45,40.13,0.07
3111,2.24,85.51,0.43
3930,2.39,43.19,9.04
1996,5.12,38.61,5.28
1312,7.74,68.98,7.36
1285,0.44,60.24,8.39
4311,6.93,10.72,9.5
2383,6.48,50.82,8.69
3239,2.31,73.55,4.83
2139,6.81,99.21,3.36
1704,9.4,62.91,1.54
362,0.47,37.03,4.0
2604,3.2,22.62,3.66
1716,4.38,87.28,5.6
4451,8.99,81.46,6.66
4286,9.62,23.39,9.78
3738,4.44,20.06,7.28
2469,7.5,71.51,6.44
4795,5.32,31.5,3.35
556,5.38,30.64,0.35
825,2.78,15.23,2.88
2808,2.17,26.4,7.68
4521,2.88,42.75,2.05
2719,5.56,73.28,7.12
3508,0.29,33.63,5.8
3741,9.07,32.86,1.72
1574,1.56,28.49,2.62
3998,2.2,47.83,4.96
2129,5.18,18.06,4.18
2403,7.1,48.56,7.79
3329,0.96,70.42,7.34
588,3.18,2.98,5.75
2012,9.69,0.98,8.22
1547,2.62,7.51,5.63
294,3.13,53.57,9.64
1985,8.36,85.45,2.17
3117,0.5,0.49,7.14
1690,4.65,93.67,3.7
1136,3.8,10.63,2.79
2064,3.17,84.2,1.8
4455,2.86,48.29,5.53
4795,0.91,65.94,2.15
4543,3.15,51.07,2.0
4770,0.43,47.7,9.91
1007,7.81,83.49,8.02
2514,3.98,75.59,7.48
3526,4.44,48.34,7.94
4681,8.94,11.16,9.69
1247,6.58,11.54,5.73
3902,0.08,80.15,2.2
1435,9.43,52.94,8.62
571,2.37,48.16,7.43
2382,1.08,68.06,4.14
1245,7.68,85.88,4.74
2084,5.0,62.89,4.11
277,4.34,76.28,9.3
1887,2.5,76.53,3.44
4579,5.47,35.63,9.63
1265,2.74,27.41,9.1
4826,9.02,80.12,6.31
1040,2.15,37.72,5.8
917,8.84,90.33,3.7
885,5.59,6.97,0.18
2752,8.28,5.82,1.28
21,7.13,92.7,7.54
4569,6.97,64.85,4.72
3191,3.24,37.96,1.5
2353,2.34,75.51,2.64
4799,2.11,67.23,9.48
686,8.57,53.12,3.67
284,8.2,9.89,9.08
4811,4.41,81.22,3.05
3747,1.32,86.6,5.43
762,3.82,17.22,0.2
2428,6.19,85.05,5.22
2507,4.54,87.78,6.37
28,7.8,54.94,2.34
906,9.98,65.62,5.79
3104,1.91,38.22,6.47
3999,4.6,28.18,6.87
2994,4.31,72.2,7.76
2506,3.04,86.19,3.11
4665,1.98,65.41,5.68
3609,0.66,51.16,9.82
3553,8.87,15.89,8.98
1453,4.2,5.35,9.53
4833,4.97,44.57,3.86
3356,9.17,4.93,7.87
515,7.76,56.93,6.2
38,1.31,38.27,0.83
3342,5.65,75.72,8.24
886,4.42,30.56,6.77
2844,7.97,59.3,1.99
2204,7.24,53.77,0.8
1098,6.9,0.47,8.37
1823,3.41,7.24,0.79
3201,8.05,29.04,0.91
3155,0.52,88.22,4.27
3093,1.6,14.7,1.35
3530,3.36,71.09,9.14
3778,0.77,97.34,4.7
2896,2.35,79.06,5.69
3453,8.3,24.29,9.28
3511,9.48,90.84,5.3
988,3.05,9.31,3.54
4116,2.65,46.81,7.97
4964,2.8,88.75,4.43
4026,2.78,64.13,3.18
4179,0.36,41.36,7.23
1682,9.27,29.28,8.02
4665,2.14,37.51,7.92
3963,4.2,50.89,9.78
933,0.1,31.9,7.87
3598,8.58,96.9,7.7
3233,7.31,93.31,8.57
1980,9.47,87.07,0.0
1855,7.82,42.18,3.62
3056,3.14,69.13,7.38
792,2.48,90.28,6.0
791,6.98,85.04,1.78
1809,3.64,41.43,3.04
2255,5.66,11.24,3.37
3610,0.06,7.56,5.68
1607,0.62,57.71,8.32
984,5.35,64.26,9.32
3676,5.66,84.98,7.5
3380,7.51,29.25,8.43
519,1.32,16.75,4.7
590,5.13,37.9,3.9
1050,1.94,35.36,3.93
3633,0.93,13.25,6.16
4444,4.1,67.23,1.24
959,1.63,50.87,5.79
692,2.22,72.11,6.65
3899,3.18,35.27,4.39
4473,2.59,32.57,9.53
2946,0.88,47.26,6.08
526,0.9,87.74,2.2
3224,1.93,4.03,4.79
2253,0.51,80.48,6.75
3344,6.26,36.9,3.24
3965,2.87,85.46,0.8
1875,2.8,80.22,5.83
1763,3.32,34.88,9.48
520,6.63,69.39,4.85
1016,8.71,15.96,9.06
116,7.59,89.63,8.35
2433,7.28,40.45,1.47
583,4.84,45.56,7.08
394,6.94,70.58,4.35
3788,5.53,82.08,2.5
2768,2.16,23.63,6.87
4167,2.09,66.14,7.43
3860,2.96,39.2,1.8
273,9.11,36.87,9.14
2013,5.47,69.0,7.51
4433,7.34,38.72,9.33
1389,3.47,34.61,3.17
3566,4.08,83.59,9.39
4702,1.26,10.13,3.69
165,1.71,67.59,0.54
1567,8.27,24.87,7.63
728,5.85,1.55,7.04
2043,3.38,16.68,5.98
4197,8.03,60.67,4.9
3496,2.47,70.91,0.32
778,9.76,2.11,6.25
213,3.45,3.64,4.17
3762,3.37,90.25,5.6
1576,3.12,7.33,4.29
2448,1.22,89.42,9.66
2936,1.11,22.82,6.04
3117,6.48,74.0,7.49
591,8.75,30.97,9.36
2720,7.91,85.88,5.92
713,1.41,70.05,0.12
935,5.46,40.18,0.34
4337,1.06,7.63,7.02
1,0.45,73.27,2.79
2848,6.56,61.69,5.79
4044,5.35,0.29,2.02
1949,0.82,0.94,2.7
917,0.35,80.88,5.05
3174,9.9,25.94,9.76
2241,0.3,63.61,6.16
89,4.45,45.42,9.36
1709,5.05,86.34,9.59
2169,1.17,91.7,2.08
4238,1.69,99.68,3.11
3041,3.52,15.37,7.7
105,7.62,86.3,8.67
886,5.07,26.6,5.19
427,6.38,59.08,9.93
1895,9.85,50.58,0.12
316,7.68,1.8,3.0
634,4.34,93.28,6.23
1925,4.46,7.83,4.69
2056,6.19,68.82,1.17
3144,6.65,78.5,3.68
2270,5.01,79.53,0.25
1439,6.45,13.55,6.43
552,0.24,44.76,8.93
715,4.3,82.94,8.85
3911,2.79,30.27,7.0
1713,1.29,46.77,4.66
3389,1.0,27.28,5.12
1107,6.03,46.36,1.37
4206,5.24,88.78,3.41
250,2.54,45.51,1.88
2430,4.71,55.59,8.21
2054,4.92,40.4,9.15
458,1.95,46.01,5.37
207,6.52,1.52,7.28
899,7.81,28.37,1.21
3461,7.91,43.66,6.09
3385,6.02,63.38,7.03
21,5.12,45.01,4.53
409,0.61,33.78,2.43
894,2.88,38.81,8.77
514,0.93,24.23,7.43
4904,9.64,92.45,9.0
4969,1.35,52.17,8.18
4109,1.52,1.34,9.9
2134,8.9,1.94,1.92
3595,9.44,97.3,0.87
2956,7.66,22.15,3.37
1560,0.05,80.56,1.29
1266,0.01,5.83,5.23
2169,3.78,92.12,6.33
3638,1.43,87.44,5.78
749,0.18,57.11,2.59
3427,4.64,0.9,9.09
4780,9.43,25.78,0.21
1927,3.24,40.68,3.48
3804,6.61,46.01,7.19
3702,6.52,29.77,7.67
2356,2.51,3.29,4.16
4790,6.5,59.01,0.17
2335,2.12,52.42,6.18
306,1.22,28.3,0.63
3665,7.01,3.8,1.08
1989,1.13,99.46,6.5
661,9.97,48.2,3.12
4644,1.83,75.6,3.48
311,5.94,45.23,4.87
2920,4.11,4.32,9.79
1082,1.26,30.96,9.65
2971,0.28,32.01,4.16
754,6.23,83.84,2.65
4130,8.07,65.42,3.03
4540,8.42,27.54,2.69
352,4.83,96.77,5.32
902,7.77,32.15,6.07
3888,6.73,99.82,4.89
158,7.24,99.62,4.08
1977,4.93,19.12,2.11
956,6.33,31.27,4.83
2071,8.06,48.6,3.41
403,3.98,66.41,5.42
4611,8.06,52.8,6.75
2779,5.92,96.94,6.33
1387,1.66,72.4,4.62
3453,0.25,21.2,5.56
955,3.63,10.51,2.85
1712,5.47,68.84,0.24
4703,8.4,15.85,6.25
1273,1.27,78.77,2.53
3811,8.0,31.1,6.69
2625,8.63,32.69,7.47
2382,1.51,1.08,9.16
1441,8.52,70.1,9.58
2979,9.91,11.33,0.11
1797,7.27,77.29,9.9
4390,7.85,49.19,6.83
4009,9.94,78.43,6.44
4850,6.05,58.39,0.15
1394,3.08,8.24,8.61
4281,8.38,76.57,1.45
1269,6.14,6.98,8.37
4732,5.81,47.87,0.16
3714,2.54,17.23,6.46
529,7.56,75.23,4.35
3623,0.82,91.16,2.01
2958,9.24,55.41,1.08
2914,3.26,52.71,4.4
4889,1.28,76.4,1.23
3591,4.42,0.51,4.86
2147,0.42,91.78,6.25
4573,6.85,19.74,8.27
3369,9.03,98.41,6.79
939,8.37,73.63,0.65
525,1.27,77.43,3.07
1,1.26,65.62,2.88
374,8.13,47.17,9.15
2340,9.24,57.16,8.68
4005,4.61,4.64,3.7
3052,4.99,62.4,0.71
4648,3.18,62.61,8.94
2365,8.94,89.12,8.88
1525,6.45,50.57,8.55
4476,2.88,7.71,8.45
1646,2.99,30.62,4.8
13,8.91,65.56,1.77
4599,0.14,23.93,4.77
2278,3.23,28.05,4.95
3155,5.54,82.05,4.9
129,1.48,58.43,5.39
3814,0.92,50.85,2.58
4933,8.15,31.85,3.66
3216,8.94,73.09,4.34
2938,8.24,28.77,1.31
3928,8.99,73.71,4.55
2040,5.53,7.01,8.1
27,8.12,86.45,8.28
2113,3.84,49.96,4.12
1252,6.66,43.85,5.19
4356,9.89,61.1,0.34
2046,2.26,62.42,6.74
4555,3.9,13.2,4.05
4023,4.8,75.62,4.45
4396,1.38,27.59,8.74
3374,0.81,90.5,4.62
3466,8.3,81.79,0.21
3081,9.77,34.63,2.27
3778,4.05,80.77,4.76
629,0.88,35.64,4.24
269,0.66,10.09,8.6
2639,8.91,96.19,5.42
1993,4.64,65.26,6.9
2891,3.2,45.61,4.69
4957,4.76,39.78,4.4
3432,3.18,32.47,4.46
1280,4.89,98.14,4.11
2360,8.6,13.47,5.39
575,5.92,31.48,2.5
1307,6.95,48.55,8.91
3192,3.65,47.8,3.33
3178,7.39,47.14,1.48
2734,6.67,17.58,0.97
2212,1.2,14.49,0.13
2352,5.73,25.48,4.23
3568,2.57,91.45,1.88
1655,8.04,11.31,0.22
1579,4.26,75.74,5.2
2203,9.95,75.75,6.8
1390,0.93,80.98,0.86
1742,7.8,88.66,4.61
1925,6.74,26.3,7.44
619,7.67,22.46,9.86
1274,3.08,46.55,6.67
956,4.92,26.51,2.45
1939,7.97,73.43,7.17
3953,2.33,63.59,5.98
2381,2.26,87.5,2.12
968,5.51,8.27,8.51
1316,5.24,91.51,4.27
1043,2.82,29.33,9.62
281,2.98,49.07,7.23
2844,2.78,43.86,6.45
1058,7.72,76.03,7.28
4293,6.52,42.03,4.78
2532,8.32,94.36,5.05
3828,9.75,90.25,8.51
1008,4.74,87.22,6.81
1229,0.67,7.13,8.97
1035,0.48,85.43,8.91
4585,2.96,78.16,9.76
275,9.33,10.35,7.0
2740,5.23,10.74,5.02
2289,2.72,10.12,1.66
1239,3.99,1.13,7.05
125,5.99,54.86,2.92
4065,6.53,97.34,2.83
4312,1.54,43.87,2.38
3868,9.77,54.08,8.75
1208,5.45,96.8,8.68
3249,1.36,25.52,6.31
918,8.94,85.85,4.73
3923,0.75,54.64,6.72
4403,9.08,56.95,6.07
1969,9.97,34.32,4.16
2793,7.0,56.16,3.8
891,7.7,7.31,3.83
4470,3.37,76.46,5.89
2033,9.42,28.47,6.48
1364,5.3,88.76,4.52
128,7.32,36.79,9.69
1014,9.24,14.28,0.84
1799,9.75,69.59,3.47
4612,8.33,16.46,4.19
1518,3.03,75.37,0.17
4181,9.67,96.81,3.65
1198,6.28,77.96,2.74
3873,9.31,2.24,5.06
2474,6.76,59.99,3.36
3485,3.07,69.54,7.26
4049,3.7,82.55,5.1
3719,5.5,5.6,1.3
302,7.9,48.01,7.5
3952,3.18,53.54,0.99
4683,5.8,16.91,8.39
986,3.46,32.24,9.31
1863,8.16,44.02,3.22
4440,4.67,83.32,9.26
4909,0.77,92.94,7.93
3072,1.66,62.84,9.22
3124,0.61,39.49,6.66
1327,4.99,25.4,2.36
2408,1.06,98.21,8.95
3673,1.14,98.3,1.84
3291,9.41,92.5,2.13
4033,8.73,78.57,2.71
703,4.52,32.58,3.04
574,9.86,81.7,5.14
3232,0.0,40.88,7.13
4783,6.14,32.68,9.26
2632,6.16,74.49,0.88
3828,4.57,7.97,9.54
3230,3.97,4.86,9.21
488,4.55,44.8,0.54
1347,4.15,44.56,3.6
3681,7.3,89.56,8.13
3173,1.35,12.62,6.12
4589,1.98,12.33,7.79
1667,1.81,14.75,7.19
1637,2.62,2.97,4.97
4114,5.25,7.17,0.41
3553,1.11,65.99,5.84
1000,8.68,43.16,0.49
850,2.97,76.36,6.04
1388,1.63,99.26,8.0
3712,6.76,65.9,5.85
1367,0.38,5.05,9.97
821,6.2,10.46,4.56
454,6.98,88.1,7.49
1624,2.15,52.75,6.67
2772,0.42,82.48,9.91
3726,3.64,85.66,7.13
3147,0.99,92.77,1.64
4089,1.16,94.98,9.56
4806,2.54,55.48,6.68
2190,2.95,34.1,0.59
916,5.3,96.19,6.58
3986,6.78,54.74,8.83
2875,5.93,6.43,5.77
1440,1.48,64.28,3.54
4400,1.72,58.77,8.21
735,8.79,89.58,7.83
3568,5.58,65.32,5.44
3338,8.7,34.91,1.54
3015,3.72,96.62,2.51
2889,6.14,80.16,7.38
961,5.24,63.04,8.06
2989,3.19,29.29,2.79
3848,4.7,37.35,3.68
1026,5.02,67.0,0.78
3865,2.01,7.2,7.13
2863,3.15,25.67,0.04
2501,7.91,71.39,0.47
1947,9.16,48.0,0.04
1177,3.6,40.24,6.45
4760,3.07,15.15,4.17
11,1.95,44.18,2.98
4399,6.78,77.07,9.13
3364,3.23,26.4,1.93
3022,9.88,0.54,3.89
3371,3.26,66.85,9.4
2830,3.94,97.26,4.27
42,6.03,60.68,5.55
943,8.02,11.99,0.8
2390,4.7,32.07,7.9
2545,4.23,86.76,4.23
2411,9.96,23.26,8.01
4986,0.1,60.77,2.54
1004,8.95,40.27,4.22
20,1.49,20.78,7.87
406,7.86,81.34,9.74
1014,6.18,74.28,0.6
4431,3.42,66.16,8.12
1838,8.74,23.63,3.01
3188,0.13,9.79,5.51
714,2.27,57.62,2.9
4146,5.67,55.37,6.13
3854,3.52,18.84,3.54
4419,6.1,5.62,3.34
4884,0.24,8.07,0.38
140,1.16,99.28,1.47
4565,1.27,78.36,9.17
4882,1.89,92.2,9.98
963,4.59,19.51,7.81
372,7.52,96.06,2.87
